genotype,population,year,StandCountMetric,TotalCount,PeakCount,PeakDAP,StartCount,EndCount,StartDAP,EndDAP,Duration,LastEffectiveFlowerCount,LastEffectiveFlowerPercent,ElongationPct,FiberStrength,FiberUniformityIndexPct,LintPct,LintYield,MicronaireUnits,SeedYield,ShortFiberContentPct,UpperHalfMeanLen
F4 2022 023,Testing,2024,7.180747043666667,607.3333333333334,219,92,30.366666666666667,576.9666666666667,72,103,31,571.3333333333334,0.9368388467558106,6.866666666666666,32.13333333333333,86.2,44.35333333333333,1351.1799999999998,5.18,8300.333333333334,5.233333333333333,1.212
F4 2022 024,Testing,2024,6.500650233333333,533.6666666666666,190,92,26.683333333333334,506.9833333333333,72,104.33333333333333,32.333333333333336,505,0.9312136096864807,6.433333333333334,31.6,85.86666666666666,44.803333333333335,1146.42,5.223333333333334,6985,5.033333333333333,1.1866666666666665
F4 2022 032,Testing,2024,2.0225634169999998,374,93.66666666666667,98,18.7,355.29999999999995,72,109,37,338.6666666666667,0.9019583496911555,7.033333333333333,31.933333333333334,85.60000000000001,43.09,506.01666666666665,5.013333333333334,3159.3333333333335,5.066666666666666,1.2266666666666666
F4 2022 034,Testing,2024,5.803304331,423.3333333333333,134.33333333333334,86.33333333333333,21.166666666666668,402.16666666666663,71,104.33333333333333,33.333333333333336,400,0.9410908340164758,6.3,32.6,85.3,45.12,1347.2433333333333,5.036666666666667,8149,5.2,1.2406666666666666
F4 2022 036,Testing,2024,6.342544612,501.3333333333333,156,95,25.066666666666666,476.26666666666665,74,103,29,478,0.9490771282255057,6.9,29.733333333333334,85.9,43.32666666666667,1414.5866666666666,4.79,8920,5.466666666666667,1.2293333333333334
F4 2022 038,Testing,2024,5.21746727,573.3333333333334,191,87.66666666666667,28.666666666666668,544.6666666666666,72,103,31,549.6666666666666,0.9549714225038168,6.533333333333333,30.833333333333332,84.63333333333334,45.61333333333334,1401.2033333333334,4.93,8376,5.6,1.206
F4 2022 039,Testing,2024,5.831821807333333,406.6666666666667,114.33333333333333,95,20.333333333333336,386.3333333333333,72,105.66666666666667,33.666666666666664,381,0.9326395728953079,6.266666666666667,32.86666666666667,86.6,45.586666666666666,1413.4433333333334,5.006666666666667,8451.333333333334,4.8999999999999995,1.236
F4 2022 040,Testing,2024,5.369925831333334,421,91.33333333333333,88.66666666666667,21.05,399.95,73,100.66666666666667,27.666666666666668,405.6666666666667,0.9614504076708967,6.533333333333333,31.433333333333334,84.7,43.69,1278.59,5.136666666666667,7952.666666666667,5.866666666666667,1.227
F4 2022 041,Testing,2024,5.829042872666666,541.6666666666666,151,88.66666666666667,27.083333333333336,514.5833333333333,73,103,30,509.6666666666667,0.9413054769474433,7.233333333333333,31.233333333333334,85.96666666666667,43.7,1521.6933333333334,4.9,9525.333333333334,4.7,1.2563333333333333
F4 2022 042,Testing,2024,3.5578256673333333,405.3333333333333,134.66666666666666,90.66666666666667,20.266666666666666,385.06666666666666,68.33333333333333,105.33333333333333,37,368.3333333333333,0.8989353445920096,6.766666666666667,32.96666666666667,85.23333333333333,44.00666666666667,807.72,4.956666666666667,5004.333333333333,5.633333333333334,1.179
F4 2022 051,Testing,2024,4.663020377,269.6666666666667,53,83.66666666666667,13.483333333333334,256.18333333333334,68.33333333333333,104.33333333333333,36,250.33333333333334,0.9225182404502216,7,33.233333333333334,86.23333333333333,44.693333333333335,1171.2633333333333,5.046666666666667,7166,5.366666666666666,1.221
F4 2022 052,Testing,2024,4.950653136,572.3333333333334,188.33333333333334,92,28.616666666666667,543.7166666666667,71,101.66666666666667,30.666666666666668,542.6666666666666,0.9413923844972232,6.766666666666667,30.333333333333332,85.03333333333333,45.61666666666667,1296.2166666666667,4.8100000000000005,7741,5.866666666666667,1.1863333333333332
F4 2022 062,Testing,2024,4.507891339666667,499.3333333333333,172.33333333333334,86.33333333333333,24.96666666666667,474.3666666666666,73,104.33333333333333,31.333333333333332,475.6666666666667,0.9410738622590193,6.633333333333333,32.7,85.23333333333333,44.73,1102.8899999999999,4.906666666666666,6743,5.6,1.2133333333333334
F4 2022 063,Testing,2024,5.581601600666667,420,137.66666666666666,90.66666666666667,21,399,72,103,31,398,0.9360594262661878,6.2,32.1,86.33333333333333,43.660000000000004,1376.9766666666667,4.926666666666667,8617.666666666666,4.966666666666667,1.2563333333333333
F4 2022 066,Testing,2024,6.256582134666667,393,126.66666666666667,90.66666666666667,19.650000000000002,373.34999999999997,74,103,29,374,0.9538706372605873,6.566666666666666,32.233333333333334,86.1,45.873333333333335,1477.9366666666667,4.903333333333333,8799,5.266666666666667,1.204
F4 2022 067,Testing,2024,0.609278174,294.3333333333333,100.33333333333333,94.33333333333333,14.716666666666667,279.6166666666667,78.66666666666667,104.33333333333333,25.666666666666668,274.3333333333333,0.9291180832132223,7,30.2,85.4,44.02,NA,4.29,NA,4.9,1.273
F4 2022 068,Testing,2024,5.350111099333333,415.6666666666667,146.66666666666666,90.66666666666667,20.783333333333335,394.8833333333333,73,108,35,389.3333333333333,0.9285941014918783,6.6,31.633333333333333,86.23333333333333,44.82,1108.23,5.1033333333333335,6758,5.466666666666667,1.1906666666666668
